A	P	D	Y
2	1997	0	17202
2	1998	0	17237
2	1998	0	16602
2	1999	0	16628
2	1999	0	16570
2	2000	0	16602
2	2000	0	16222
2	2001	0	16262
2	2001	0	16355
2	2002	0	16385
2	2002	0	16525
2	2003	0	16548
2	2003	0	16120
3	1943	0	15507
3	1943	0	16181
3	1944	0	16164
3	1944	0	16485
3	1945	0	16441
3	1945	0	18584
3	1946	0	18647
3	1946	0	19745
3	1947	0	19725
3	1947	0	21118
3	1948	0	21090
3	1948	0	22021
3	1949	0	21987
3	1949	0	22195
3	1950	0	22187
3	1950	0	21390
3	1951	0	21352
3	1951	0	20114
3	1952	0	20087
3	1952	0	18670
3	1953	0	18651
3	1953	0	18925
3	1954	0	18916
3	1954	0	17940
3	1955	0	17919
3	1955	0	18181
3	1956	0	18153
3	1956	0	18358
3	1957	0	18311
3	1957	0	17953
3	1958	0	17919
3	1958	0	17955
3	1959	0	17954
3	1959	0	18063
3	1960	0	18081
3	1960	0	17854
3	1961	0	17861
3	1961	0	17868
3	1962	0	17880
3	1962	0	17696
3	1963	0	17703
3	1963	0	18092
3	1964	0	18088
3	1964	0	18308
3	1965	0	18294
3	1965	0	18682
3	1966	0	18681
3	1966	0	19749
3	1967	0	19741
3	1967	0	19849
3	1968	0	19839
3	1968	0	20453
3	1969	0	20441
3	1969	0	21135
3	1970	0	21140
3	1970	0	19544
3	1971	0	19560
3	1971	0	17832
3	1972	0	17852
3	1972	0	17147
3	1973	0	17158
3	1973	0	17230
3	1974	0	17230
3	1974	0	18130
3	1975	0	18109
3	1975	0	18348
3	1976	0	18340
3	1976	0	17393
3	1977	0	17415
3	1977	0	17374
3	1978	0	17398
3	1978	0	17686
3	1979	0	17712
3	1979	0	15923
3	1980	0	15939
3	1980	0	15197
3	1981	0	15192
3	1981	0	15186
3	1982	0	15184
3	1982	0	14538
3	1983	0	14541
3	1983	0	14068
3	1984	0	14078
3	1984	0	13064
3	1985	0	13077
3	1985	0	12926
3	1986	0	12957
3	1986	0	12572
3	1987	0	12606
3	1987	0	12811
3	1988	0	12832
3	1988	0	13343
3	1989	0	13362
3	1989	0	13588
3	1990	0	13612
3	1990	0	13699
3	1991	0	13728
3	1991	0	14393
3	1992	0	14430
3	1992	0	15106
3	1993	0	15138
3	1993	0	15600
3	1994	0	15638
3	1994	0	15855
3	1995	0	15920
3	1995	0	16684
3	1996	0	16754
3	1996	0	16671
3	1997	0	16714
3	1997	0	17334
3	1998	0	17370
3	1998	0	17249
3	1999	0	17264
3	1999	0	16636
3	2000	0	16661
3	2000	0	16616
3	2001	0	16649
3	2001	0	16281
3	2002	0	16325
3	2002	0	16398
3	2003	0	16414
3	2003	0	16555
4	1943	0	15663
4	1943	0	15501
4	1944	0	15489
4	1944	0	16155
4	1945	0	16207
4	1945	0	16405
4	1946	0	16366
4	1946	0	18644
4	1947	0	18632
4	1947	0	19714
4	1948	0	19689
4	1948	0	21076
4	1949	0	21050
4	1949	0	21976
4	1950	0	21991
4	1950	0	22190
4	1951	0	22182
4	1951	0	21335
4	1952	0	21311
4	1952	0	20078
4	1953	0	20067
4	1953	0	18646
4	1954	0	18639
4	1954	0	18912
4	1955	0	18901
4	1955	0	17907
4	1956	0	17879
4	1956	0	18131
4	1957	0	18087
4	1957	0	18286
4	1958	0	18250
4	1958	0	17914
4	1959	0	17908
4	1959	0	17957
4	1960	0	17958
4	1960	0	18100
4	1961	0	18120
4	1961	0	17864
4	1962	0	17871
4	1962	0	17882
4	1963	0	17889
4	1963	0	17702
4	1964	0	17704
4	1964	0	18084
4	1965	0	18158
4	1965	0	18282
4	1966	0	18271
4	1966	0	18679
4	1967	0	18669
4	1967	0	19737
4	1968	0	19727
4	1968	0	19834
4	1969	0	19830
4	1969	0	20444
4	1970	0	20441
4	1970	0	21144
4	1971	0	21152
4	1971	0	19569
4	1972	0	19590
4	1972	0	17857
4	1973	0	17873
4	1973	0	17157
4	1974	0	17157
4	1974	0	17223
4	1975	0	17203
4	1975	0	18098
4	1976	0	18090
4	1976	0	18349
4	1977	0	18369
4	1977	0	17433
4	1978	0	17455
4	1978	0	17409
4	1979	0	17426
4	1979	0	17726
4	1980	0	17744
4	1980	0	15942
4	1981	0	15937
4	1981	0	15184
4	1982	0	15176
4	1982	0	15184
4	1983	0	15177
4	1983	0	14539
4	1984	0	14541
4	1984	0	14078
4	1985	0	14084
4	1985	0	13086
4	1986	0	13107
4	1986	0	12971
4	1987	0	13001
4	1987	0	12619
4	1988	0	12639
4	1988	0	12841
4	1989	0	12857
4	1989	0	13373
4	1990	0	13393
4	1990	0	13627
4	1991	0	13660
4	1991	0	13748
4	1992	0	13780
4	1992	0	14444
4	1993	0	14472
4	1993	0	15154
4	1994	0	15187
4	1994	0	15659
4	1995	0	15723
4	1995	0	15970
4	1996	0	16044
4	1996	0	16781
4	1997	0	16821
4	1997	0	16729
4	1998	0	16757
4	1998	0	17383
4	1999	0	17403
4	1999	0	17268
4	2000	0	17284
4	2000	0	16678
4	2001	0	16713
4	2001	0	16667
4	2002	0	16696
4	2002	0	16349
4	2003	0	16379
4	2003	0	16418
5	1943	0	15525
5	1943	0	15655
5	1944	0	15643
5	1944	0	15483
5	1945	0	15554
5	1945	0	16268
5	1946	0	16330
5	1946	0	16364
5	1947	0	16355
5	1947	0	18623
5	1948	0	18604
5	1948	0	19675
5	1949	0	19655
5	1949	0	21038
5	1950	0	20988
5	1950	0	22018
5	1951	0	22034
5	1951	0	22171
5	1952	0	22149
5	1952	0	21304
5	1953	0	21293
5	1953	0	20064
5	1954	0	20054
5	1954	0	18637
5	1955	0	18626
5	1955	0	18893
5	1956	0	18873
5	1956	0	17862
5	1957	0	17826
5	1957	0	18064
5	1958	0	18033
5	1958	0	18240
5	1959	0	18232
5	1959	0	17907
5	1960	0	17925
5	1960	0	17955
5	1961	0	17958
5	1961	0	18120
5	1962	0	18127
5	1962	0	17876
5	1963	0	17884
5	1963	0	17893
5	1964	0	17896
5	1964	0	17705
5	1965	0	17700
5	1965	0	18235
5	1966	0	18310
5	1966	0	18273
5	1967	0	18274
5	1967	0	18661
5	1968	0	18646
5	1968	0	19721
5	1969	0	19713
5	1969	0	19831
5	1970	0	19844
5	1970	0	20435
5	1971	0	20442
5	1971	0	21157
5	1972	0	21163
5	1972	0	19602
5	1973	0	19621
5	1973	0	17883
5	1974	0	17886
5	1974	0	17158
5	1975	0	17157
5	1975	0	17190
5	1976	0	17185
5	1976	0	18094
5	1977	0	18107
5	1977	0	18380
5	1978	0	18398
5	1978	0	17460
5	1979	0	17476
5	1979	0	17433
5	1980	0	17446
5	1980	0	17748
5	1981	0	17750
5	1981	0	15930
5	1982	0	15919
5	1982	0	15176
5	1983	0	15176
5	1983	0	15171
5	1984	0	15169
5	1984	0	14545
5	1985	0	14556
5	1985	0	14091
5	1986	0	14113
5	1986	0	13119
5	1987	0	13149
5	1987	0	13017
5	1988	0	13035
5	1988	0	12645
5	1989	0	12663
5	1989	0	12864
5	1990	0	12884
5	1990	0	13401
5	1991	0	13427
5	1991	0	13679
5	1992	0	13711
5	1992	0	13793
5	1993	0	13824
5	1993	0	14487
5	1994	0	14520
5	1994	0	15204
5	1995	0	15263
5	1995	0	15765
5	1996	0	15835
5	1996	0	16068
5	1997	0	16101
5	1997	0	16834
5	1998	0	16856
5	1998	0	16771
5	1999	0	16789
5	1999	0	17410
5	2000	0	17425
5	2000	0	17296
5	2001	0	17329
5	2001	0	16732
5	2002	0	16770
5	2002	0	16707
5	2003	0	16724
5	2003	0	16386
6	1943	0	15081
6	1943	0	15517
6	1944	0	15507
6	1944	0	15637
6	1945	0	15690
6	1945	0	15632
6	1946	0	15705
6	1946	0	16332
6	1947	0	16328
6	1947	0	16348
6	1948	0	16335
6	1948	0	18594
6	1949	0	18579
6	1949	0	19649
6	1950	0	19593
6	1950	0	20950
6	1951	0	20900
6	1951	0	22023
6	1952	0	22005
6	1952	0	22138
6	1953	0	22125
6	1953	0	21289
6	1954	0	21282
6	1954	0	20048
6	1955	0	20035
6	1955	0	18618
6	1956	0	18596
6	1956	0	18860
6	1957	0	18823
6	1957	0	17806
6	1958	0	17784
6	1958	0	18026
6	1959	0	18020
6	1959	0	18236
6	1960	0	18240
6	1960	0	17944
6	1961	0	17966
6	1961	0	17963
6	1962	0	17976
6	1962	0	18132
6	1963	0	18141
6	1963	0	17887
6	1964	0	17890
6	1964	0	17894
6	1965	0	17894
6	1965	0	17693
6	1966	0	17686
6	1966	0	18308
6	1967	0	18304
6	1967	0	18273
6	1968	0	18271
6	1968	0	18640
6	1969	0	18639
6	1969	0	19712
6	1970	0	19714
6	1970	0	19857
6	1971	0	19874
6	1971	0	20454
6	1972	0	20473
6	1972	0	21164
6	1973	0	21178
6	1973	0	19628
6	1974	0	19634
6	1974	0	17880
6	1975	0	17863
6	1975	0	17155
6	1976	0	17156
6	1976	0	17194
6	1977	0	17218
6	1977	0	18117
6	1978	0	18131
6	1978	0	18405
6	1979	0	18416
6	1979	0	17486
6	1980	0	17499
6	1980	0	17454
6	1981	0	17461
6	1981	0	17748
6	1982	0	17739
6	1982	0	15915
6	1983	0	15910
6	1983	0	15177
6	1984	0	15176
6	1984	0	15173
6	1985	0	15182
6	1985	0	14564
6	1986	0	14579
6	1986	0	14129
6	1987	0	14155
6	1987	0	13166
6	1988	0	13194
6	1988	0	13038
6	1989	0	13049
6	1989	0	12675
6	1990	0	12697
6	1990	0	12898
6	1991	0	12932
6	1991	0	13446
6	1992	0	13483
6	1992	0	13725
6	1993	0	13755
6	1993	0	13842
6	1994	0	13874
6	1994	0	14537
6	1995	0	14599
6	1995	0	15305
6	1996	0	15371
6	1996	0	15863
6	1997	0	15905
6	1997	0	16110
6	1998	0	16127
6	1998	0	16865
6	1999	0	16877
6	1999	0	16792
6	2000	0	16811
6	2000	0	17434
6	2001	0	17462
6	2001	0	17350
6	2002	0	17381
6	2002	0	16788
6	2003	0	16812
6	2003	0	16730
7	1943	0	14713
7	1943	0	15071
7	1944	0	15057
7	1944	0	15504
7	1945	0	15460
7	1945	0	15747
7	1946	0	15806
7	1946	0	15701
7	1947	0	15692
7	1947	0	16322
7	1948	0	16307
7	1948	0	16329
7	1949	0	16319
7	1949	0	18574
7	1950	0	18579
7	1950	0	19544
7	1951	0	19484
7	1951	0	20888
7	1952	0	20867
7	1952	0	21998
7	1953	0	21989
7	1953	0	22123
7	1954	0	22116
7	1954	0	21278
7	1955	0	21266
7	1955	0	20030
7	1956	0	20012
7	1956	0	18582
7	1957	0	18550
7	1957	0	18798
7	1958	0	18768
7	1958	0	17781
7	1959	0	17775
7	1959	0	18022
7	1960	0	18067
7	1960	0	18240
7	1961	0	18248
7	1961	0	17969
7	1962	0	17974
7	1962	0	17983
7	1963	0	17990
7	1963	0	18144
7	1964	0	18150
7	1964	0	17889
7	1965	0	17896
7	1965	0	17895
7	1966	0	17897
7	1966	0	17686
7	1967	0	17686
7	1967	0	18303
7	1968	0	18296
7	1968	0	18270
7	1969	0	18270
7	1969	0	18645
7	1970	0	18643
7	1970	0	19717
7	1971	0	19726
7	1971	0	19879
7	1972	0	19889
7	1972	0	20480
7	1973	0	20497
7	1973	0	21190
7	1974	0	21208
7	1974	0	19633
7	1975	0	19616
7	1975	0	17853
7	1976	0	17849
7	1976	0	17159
7	1977	0	17173
7	1977	0	17234
7	1978	0	17255
7	1978	0	18136
7	1979	0	18150
7	1979	0	18420
7	1980	0	18424
7	1980	0	17501
7	1981	0	17500
7	1981	0	17461
7	1982	0	17454
7	1982	0	17732
7	1983	0	17718
7	1983	0	15908
7	1984	0	15901
7	1984	0	15174
7	1985	0	15180
7	1985	0	15186
7	1986	0	15202
7	1986	0	14586
7	1987	0	14606
7	1987	0	14165
7	1988	0	14180
7	1988	0	13205
7	1989	0	13226
7	1989	0	13056
7	1990	0	13074
7	1990	0	12707
7	1991	0	12734
7	1991	0	12953
7	1992	0	12985
7	1992	0	13501
7	1993	0	13530
7	1993	0	13772
7	1994	0	13799
7	1994	0	13888
7	1995	0	13949
7	1995	0	14645
7	1996	0	14717
7	1996	0	15394
7	1997	0	15433
7	1997	0	15918
7	1998	0	15947
7	1998	0	16135
7	1999	0	16153
7	1999	0	16879
7	2000	0	16896
7	2000	0	16826
7	2001	0	16856
7	2001	0	17482
7	2002	0	17514
7	2002	0	17391
7	2003	0	17409
7	2003	0	16817
8	1943	0	14618
8	1943	0	14701
8	1944	0	14685
8	1944	0	15052
8	1945	0	15042
8	1945	0	15420
8	1946	0	15377
8	1946	0	15806
8	1947	0	15802
8	1947	0	15686
8	1948	0	15674
8	1948	0	16298
8	1949	0	16285
8	1949	0	16315
8	1950	0	16293
8	1950	0	18589
8	1951	0	18588
8	1951	0	19472
8	1952	0	19455
8	1952	0	20858
8	1953	0	20844
8	1953	0	21986
8	1954	0	21979
8	1954	0	22111
8	1955	0	22099
8	1955	0	21258
8	1956	0	21235
8	1956	0	19999
8	1957	0	19972
8	1957	0	18531
8	1958	0	18507
8	1958	0	18763
8	1959	0	18756
8	1959	0	17771
8	1960	0	17723
8	1960	0	18110
8	1961	0	18157
8	1961	0	18255
8	1962	0	18266
8	1962	0	17976
8	1963	0	17981
8	1963	0	17989
8	1964	0	17987
8	1964	0	18153
8	1965	0	18153
8	1965	0	17904
8	1966	0	17909
8	1966	0	17898
8	1967	0	17899
8	1967	0	17685
8	1968	0	17684
8	1968	0	18289
8	1969	0	18287
8	1969	0	18272
8	1970	0	18286
8	1970	0	18636
8	1971	0	18633
8	1971	0	19732
8	1972	0	19745
8	1972	0	19893
8	1973	0	19907
8	1973	0	20507
8	1974	0	20518
8	1974	0	21214
8	1975	0	21206
8	1975	0	19599
8	1976	0	19592
8	1976	0	17856
8	1977	0	17871
8	1977	0	17184
8	1978	0	17205
8	1978	0	17259
8	1979	0	17275
8	1979	0	18158
8	1980	0	18169
8	1980	0	18424
8	1981	0	18417
8	1981	0	17496
8	1982	0	17488
8	1982	0	17447
8	1983	0	17435
8	1983	0	17712
8	1984	0	17713
8	1984	0	15897
8	1985	0	15905
8	1985	0	15188
8	1986	0	15202
8	1986	0	15213
8	1987	0	15234
8	1987	0	14619
8	1988	0	14631
8	1988	0	14184
8	1989	0	14197
8	1989	0	13236
8	1990	0	13263
8	1990	0	13084
8	1991	0	13109
8	1991	0	12751
8	1992	0	12781
8	1992	0	12997
8	1993	0	13021
8	1993	0	13540
8	1994	0	13560
8	1994	0	13809
8	1995	0	13861
8	1995	0	13997
8	1996	0	14070
8	1996	0	14745
8	1997	0	14790
8	1997	0	15448
8	1998	0	15477
8	1998	0	15961
8	1999	0	15986
8	1999	0	16163
8	2000	0	16194
8	2000	0	16911
8	2001	0	16947
8	2001	0	16870
8	2002	0	16899
8	2002	1	17526
8	2003	0	17551
8	2003	0	17417
9	1943	0	14320
9	1943	0	14609
9	1944	0	14598
9	1944	0	14681
9	1945	0	14714
9	1945	0	15036
9	1946	0	15028
9	1946	0	15376
9	1947	0	15366
9	1947	0	15798
9	1948	0	15788
9	1948	0	15667
9	1949	0	15655
9	1949	0	16282
9	1950	0	16292
9	1950	0	16274
9	1951	0	16247
9	1951	0	18577
9	1952	0	18560
9	1952	0	19449
9	1953	0	19440
9	1953	0	20840
9	1954	0	20833
9	1954	0	21975
9	1955	0	21967
9	1955	0	22092
9	1956	0	22072
9	1956	0	21220
9	1957	0	21189
9	1957	0	19957
9	1958	0	19935
9	1958	0	18501
9	1959	0	18493
9	1959	0	18754
9	1960	0	18774
9	1960	0	17678
9	1961	0	17638
9	1961	0	18160
9	1962	0	18166
9	1962	0	18271
9	1963	0	18274
9	1963	0	17985
9	1964	0	17991
9	1964	0	17987
9	1965	0	17998
9	1965	0	18149
9	1966	0	18146
9	1966	0	17907
9	1967	0	17909
9	1967	0	17900
9	1968	0	17901
9	1968	0	17683
9	1969	0	17687
9	1969	0	18292
9	1970	0	18293
9	1970	0	18300
9	1971	0	18321
9	1971	0	18638
9	1972	0	18644
9	1972	0	19751
9	1973	0	19763
9	1973	0	19917
9	1974	0	19926
9	1974	0	20519
9	1975	0	20511
9	1975	0	21192
9	1976	0	21181
9	1976	0	19602
9	1977	0	19622
9	1977	0	17878
9	1978	0	17890
9	1978	0	17215
9	1979	0	17233
9	1979	0	17287
9	1980	0	17303
9	1980	0	18172
9	1981	0	18174
9	1981	0	18411
9	1982	0	18405
9	1982	0	17484
9	1983	0	17479
9	1983	0	17431
9	1984	0	17430
9	1984	0	17720
9	1985	0	17731
9	1985	0	15916
9	1986	0	15940
9	1986	0	15209
9	1987	0	15227
9	1987	0	15245
9	1988	0	15266
9	1988	0	14630
9	1989	0	14635
9	1989	0	14204
9	1990	0	14224
9	1990	0	13280
9	1991	0	13308
9	1991	0	13124
9	1992	0	13152
9	1992	0	12794
9	1993	0	12816
9	1993	0	13033
9	1994	0	13060
9	1994	0	13570
9	1995	0	13626
9	1995	0	13903
9	1996	0	13980
9	1996	0	14094
9	1997	0	14129
9	1997	0	14807
9	1998	0	14842
9	1998	0	15490
9	1999	0	15518
9	1999	0	15996
9	2000	0	16025
9	2000	0	16215
9	2001	0	16253
9	2001	0	16969
9	2002	0	17000
9	2002	0	16915
9	2003	0	16938
9	2003	0	17563
10	1943	0	14824
10	1943	0	14313
10	1944	0	14304
10	1944	0	14595
10	1945	0	14566
10	1945	0	14751
10	1946	0	14790
10	1946	0	15026
10	1947	0	15018
10	1947	0	15357
10	1948	0	15344
10	1948	0	15782
10	1949	0	15771
10	1949	0	15649
10	1950	0	15568
10	1950	0	16304
10	1951	0	16309
10	1951	0	16238
10	1952	0	16224
10	1952	0	18554
10	1953	0	18548
10	1953	0	19437
10	1954	0	19433
10	1954	0	20830
10	1955	0	20822
10	1955	0	21964
10	1956	0	21947
10	1956	0	22059
10	1957	0	22031
10	1957	0	21173
10	1958	0	21153
10	1958	0	19928
10	1959	0	19920
10	1959	0	18490
10	1960	0	18517
10	1960	0	18796
10	1961	0	18824
10	1961	0	17643
10	1962	0	17644
10	1962	0	18167
10	1963	0	18170
10	1963	0	18274
10	1964	0	18275
10	1964	0	17993
10	1965	0	17999
10	1965	0	18009
10	1966	0	18026
10	1966	0	18147
10	1967	0	18148
10	1967	0	17914
10	1968	0	17911
10	1968	0	17900
10	1969	0	17900
10	1969	0	17692
10	1970	0	17686
10	1970	0	18290
10	1971	0	18286
10	1971	0	18330
10	1972	0	18339
10	1972	0	18645
10	1973	0	18655
10	1973	0	19768
10	1974	0	19769
10	1974	0	19926
10	1975	0	19912
10	1975	0	20501
10	1976	0	20496
10	1976	0	21184
10	1977	0	21195
10	1977	0	19631
10	1978	0	19646
10	1978	0	17896
10	1979	0	17911
10	1979	0	17240
10	1980	0	17248
10	1980	0	17307
10	1981	0	17312
10	1981	0	18173
10	1982	0	18172
10	1982	0	18405
10	1983	0	18408
10	1983	0	17478
10	1984	0	17482
10	1984	0	17432
10	1985	0	17436
10	1985	0	17734
10	1986	0	17746
10	1986	0	15951
10	1987	0	15969
10	1987	0	15237
10	1988	0	15255
10	1988	0	15275
10	1989	0	15293
10	1989	0	14641
10	1990	0	14660
10	1990	0	14236
10	1991	0	14265
10	1991	0	13319
10	1992	0	13344
10	1992	0	13166
10	1993	0	13191
10	1993	0	12826
10	1994	0	12845
10	1994	0	13074
10	1995	0	13132
10	1995	0	13672
10	1996	0	13740
10	1996	0	14016
10	1997	0	14061
10	1997	0	14139
10	1998	0	14165
10	1998	0	14861
10	1999	0	14891
10	1999	0	15533
10	2000	0	15565
10	2000	0	16044
10	2001	0	16085
10	2001	0	16271
10	2002	0	16303
10	2002	0	17010
10	2003	0	17030
10	2003	0	16946
11	1943	0	14623
11	1943	0	14814
11	1944	0	14802
11	1944	0	14300
11	1945	0	14229
11	1945	0	14539
11	1946	0	14515
11	1946	0	14792
11	1947	0	14789
11	1947	0	15013
11	1948	0	15005
11	1948	0	15339
11	1949	0	15330
11	1949	0	15766
11	1950	0	15725
11	1950	0	15493
11	1951	0	15414
11	1951	0	16302
11	1952	0	16290
11	1952	0	16218
11	1953	0	16213
11	1953	0	18549
11	1954	0	18546
11	1954	0	19432
11	1955	0	19430
11	1955	0	20818
11	1956	0	20804
11	1956	0	21934
11	1957	0	21904
11	1957	0	22016
11	1958	0	21994
11	1958	0	21149
11	1959	0	21143
11	1959	0	19919
11	1960	0	19878
11	1960	0	18546
11	1961	0	18581
11	1961	0	18831
11	1962	0	18840
11	1962	0	17642
11	1963	0	17642
11	1963	0	18171
11	1964	0	18176
11	1964	0	18277
11	1965	0	18265
11	1965	0	18003
11	1966	0	18009
11	1966	0	18032
11	1967	0	18039
11	1967	0	18148
11	1968	0	18145
11	1968	0	17903
11	1969	0	17894
11	1969	0	17900
11	1970	0	17891
11	1970	0	17674
